# Comparison over the eleven anchors listed (fresh ); sN denotes seed N. Rows above the midrule
# are clean-null and gray-zone anchors kept on the null gate; rows below it are non-clean cases
# handled by the frozen response rule, including sign-gate recovery and the raw fallback for
# seed10. The last row counts the cells below 0.01 out of those eleven. Values are from the
# current protocol except the seed10 row (raw, earlier protocol). The sign-gate arm is not
# measured on all eleven anchors, so the routed row is not a per-anchor maximum. This table is not
# an inventory of every measured arm.
# Re-emitted from manuscript_p2_optical_engineering.tex; the numbers are the paper's own.
anchor,null_banded,routing,routed_minus_null
s1,0.079,0.079,0.000
s2,0.118,0.118,0.000
s3,0.079,0.079,0.000
s4,0.126,0.126,0.000
s7,0.072,0.072,0.000
s13,0.126,0.126,0.000
s5,0.035,0.113,+0.078
s6,0.009,0.064,+0.055
s8,0.001,0.063,+0.062
s9,0.005,0.104,+0.099
s10,0.025,0.077,+0.052
cells below 0.01,3 of 11,0 of 11,
