anchor,arm,n_pos,n_accept,mass_loss_percent,count_loss_percent,source_record
seed0,null_gate_probe_v2,5,0,100.0,100.0,trajectory.json
seed1,unified_protocol,4,4,0.0,0.0,trajectory.json
seed2,unified_protocol,11,11,0.0,0.0,trajectory.json
seed3,unified_protocol,10,9,2.7,10.0,trajectory.json
seed4,unified_protocol,16,16,0.0,0.0,trajectory.json
seed5,null_gate_probe_v2,12,0,100.0,100.0,trajectory.json
seed6,frozen_prospective,6,0,100.0,100.0,trajectory.json
seed7,unified_protocol,11,11,0.0,0.0,trajectory.json
seed8,null_gate_probe_v2,1,0,100.0,100.0,trajectory.json
seed9,null_gate_probe_v2,4,0,100.0,100.0,trajectory.json
seed11,null_gate_probe_v2,5,1,67.2,80.0,trajectory.json
seed12,null_gate_probe_v2,0,0,0.0,0.0,trajectory.json
seed13,unified_protocol,11,4,35.6,63.6,trajectory.json
seed14,null_gate_probe_v2,3,3,0.0,0.0,trajectory.json
seed15,null_gate_probe_v2,0,0,0.0,0.0,trajectory.json
seed16,null_gate_probe_v2,11,3,54.1,72.7,trajectory.json
seed17,null_gate_probe_v2,7,0,100.0,100.0,trajectory.json
seed18,null_gate_probe_v2,15,1,83.3,93.3,trajectory.json
seed19,null_gate_probe_v2,6,0,100.0,100.0,trajectory.json
seed20,null_gate_probe_v2,5,5,0.0,0.0,trajectory.json
seed21,null_gate_probe_v2,2,0,100.0,100.0,trajectory.json
seed22,null_gate_probe_v2,9,9,0.0,0.0,trajectory.json
seed23,null_gate_probe_v2,4,1,19.2,75.0,trajectory.json
seed24,null_gate_probe_v2,12,0,100.0,100.0,trajectory.json
seed25,null_gate_probe_v2,7,0,100.0,100.0,trajectory.json
seed26,null_gate_probe_v2,10,9,0.9,10.0,trajectory.json
seed27,null_gate_probe_v2,1,0,100.0,100.0,trajectory.json
seed28,null_gate_probe_v2,12,0,100.0,100.0,trajectory.json
